47
48
0, 131.419998, -245.770004
1, 131.759995, -252.179993
2, 84.000000, -255.220001
3, 74.199997, -123.360001
4, 71.730003, -87.269997
5, 68.699997, -60.630001
6, 3.270000, -60.970001
7, -0.770000, -39.049999
8, -28.090000, -40.060001
9, -30.110001, -33.310001
10, 72.835503, -102.089996
11, -102.366997, -116.970001
12, -142.654007, -136.388000
13, -135.787994, -217.007996
14, -182.962006, -347.682007
15, -118.304001, -339.950989
16, -119.181999, -334.855011
17, -134.197998, -238.164001
18, -174.138000, -243.908005
19, -177.962997, -306.587006
20, -184.873001, -323.187988
21, -135.949005, -129.772003
22, -123.049004, -123.273003
23, -176.500000, -300.437012
24, 3.334290, -33.526402
25, 5.386300, -28.014200
26, 12.404000, -25.469299
27, 12.243600, 0.158996
28, 16.124701, 1.409940
29, 15.739800, 17.704300
30, 44.527199, 60.309799
31, 41.048199, 72.475098
32, 41.381500, 63.162498
33, 46.399700, 71.235001
34, 51.448799, 57.817299
35, 59.285099, -59.540901
36, 67.485100, -52.674198
37, 93.579498, 7.261940
38, 50.633301, 62.407799
39, 55.041199, 54.438702
40, 58.125599, 57.617500
41, 65.872002, -2.930650
42, 88.984596, -2.039180
43, 44.837799, 18.927401
44, 46.501099, 18.875401
45, 52.166901, 18.927401
46, 90.885101, 19.022400
0, 1, 50.000000, 10.000000
1, 2, 50.000000, 10.000000
2, 3, 50.000000, 10.000000
3, 10, 50.000000, 10.000000
4, 5, 50.000000, 10.000000
4, 10, 50.000000, 10.000000
5, 35, 50.000000, 10.000000
6, 7, 50.000000, 10.000000
6, 35, 50.000000, 10.000000
7, 8, 50.000000, 10.000000
7, 24, 50.000000, 10.000000
8, 9, 50.000000, 10.000000
10, 11, 50.000000, 10.000000
11, 22, 50.000000, 10.000000
12, 13, 50.000000, 10.000000
12, 21, 50.000000, 10.000000
13, 17, 50.000000, 10.000000
14, 15, 50.000000, 10.000000
14, 20, 50.000000, 10.000000
15, 16, 50.000000, 10.000000
17, 18, 50.000000, 10.000000
18, 23, 50.000000, 10.000000
19, 20, 50.000000, 10.000000
19, 23, 50.000000, 10.000000
21, 22, 50.000000, 10.000000
24, 25, 50.000000, 10.000000
25, 26, 50.000000, 10.000000
26, 27, 50.000000, 10.000000
27, 28, 50.000000, 10.000000
28, 29, 50.000000, 10.000000
29, 43, 50.000000, 10.000000
30, 32, 50.000000, 10.000000
30, 43, 50.000000, 10.000000
31, 32, 50.000000, 10.000000
31, 33, 50.000000, 10.000000
33, 38, 50.000000, 10.000000
34, 38, 50.000000, 10.000000
34, 39, 50.000000, 10.000000
35, 36, 50.000000, 10.000000
36, 41, 50.000000, 10.000000
37, 42, 50.000000, 10.000000
39, 40, 50.000000, 10.000000
41, 42, 50.000000, 10.000000
43, 44, 50.000000, 10.000000
45, 46, 50.000000, 10.000000
44, 45, 0.500000, 1.000000
43, 46, 0.500000, 1.000000
46, 44, 0.500000, 1.000000
